question,option1,option2,option3,option4,correct_answer
A 37-year-old patient was brought to ED with multiple facial fractures. Plastic surgeon is called to the ED at the request of the emergency department physician for evaluation of need for facial surgery. Plastic surgeon obtained Medical decision making of moderate level. How do you code for the plastic surgeon's service?,99284-57,99243-57,99244-57,99253-57,99244-57
"A 55-year-old female established patient suffering with unexplained fever visited her family physician. On investigation, she was reported to have an abnormally high WBC count. The family physician referred the patient to a consultant oncologist. The consulting physician recorded a medically appropriate history and examination with a medical decision making of high complexity. Consulting physician diagnosed the condition as chronic myeloid leukaemia. The patient was prescribed medications. The time spent for evaluation by her family physician was 45 minutes. How do you code for consulting physician service and family physician service?","99245, 99245","99245, 99214","99245, 99215","99215, 99245","99215, 99245"
"Jonathan visited physician's office with complaint of breathing difficulty. He was brought from prison of New Mexico under court order (mandated). Patient was suffering with fever, cough and weight loss since 5 days. Physician took a medically appropriate history and examination with MDM of moderate level complexity. He performed some investigation and diagnosed the condition as pulmonary tuberculosis and started treatment. How do you code this service?",99243,99244,99244-32 ,99204,99244-32 
A 17-year-old patient presents to the emergency department with an ankle sprain because of slip and fall while Roller-bladding. Patient reports that he did strike his head on the sidewalk as a result of the fall. The medical decision making complexity is low level. Identify correct E&M service code for this patient?,99232,99283,99203,99284,99283
"Diana is admitted to the skilled nursing facility after being seen in the office earlier today. Her daughter brought the patient to the office. According to the patient's daughter, it is found that the patient was diagnosed with dementia last year. The patient was moved to this city so that the daughter could care for her mother. Of late, the patient has become more and more withdrawn and noncommunicative. She has wandered away from the daughter's home twice in the last week and on the last occasion was found walking on the street. After a medically appropriate history and examination, it was decided that the patient would be admitted to the nursing facility today. The physician spent 45 minutes with the patient and in preparation of the medical documentation for admittance to the nursing facility. Medical decision making is documented as moderate level complexity. How do you code this service?",99310,99307,99305,99306,99305
"An 18-year-old established patient is admitted to the hospital by his attending physician after a car accident. Patient hit the steering wheel of the automobile with significant force to fold the wheel backward. Patient complains of significant pain in the right shoulder. After a medically appropriate history and physical examination, the physician found that the patient sustained a right rotator cuff injury. Medical decision making was straightforward in complexity. What should be the correct E&M service code number?",99282 ,99242,99221,99252,99221
Victor is seen by a physician in the nursing facility on day 12. He has been getting treatment for diabetes and foot ulcer. The physician performed a medically appropriate history and examination. Medical decision making complexity is moderate level. Identify correct E&M service code number?,99310,99309,99315,99214,99309
"A 43-year-old is seeing as a second opinion Dr. Roberts. It was the first time patient is seen by Dr. Roberts. Physician documented a medically appropriate history, medically appropriate examination, and decision-making of high complexity. Physician agreed with hospitalization that was suggested by his PCP. Select code(s) for this patient's service?","99394, 99214",99204,99203,99205,99205
A 53-year-old patient is returning to her gynecologist. Her physician told nurse to do pessory cleaning. Nurse removed and cleaned the pessory. Vagina was swabbed with Betadine. A new pessory was inserted by nurse. Identify correct E/M code number for this service?,99203,99211,99202,99212,99211
Selena came today for atrial fibrillation follow up. Her PCP is not in the office. She is seen by a partner physician of the same practice. Blood pressure is 120/75. Pulse is 68. Chest is clear. Physician performed medically appropriate history and medically appropriate exam. Medical making decision is straight forward. How do you code for this service?,99203,99202 ,99212,99213,99212
