question,option1,option2,option3,option4,correct_answer
The Medicare program is made up of several parts. Which part is affected by the Centers for Medicare and Medicaid Services – hierarchal condition categories (CMS-HCC)?,Part A,Part B,Part C,Part D,Part C
Healthcare providers are responsible for developing ____ ____ and policies and procedures regarding privacy in their practices.,Patient hotlines,Work around procedures,Fees,Notices of Privacy Practices,Notices of Privacy Practices
A covered entity may obtain consent of the individual to use or disclose protected health information to carry out all but what of the following?,For public use,Treatment,Payment,Healthcare operations,For public use
How many components should be included in an effective compliance plan?,3,4,7,9,7
"According to the AAPC Code of Ethics, Member shall use only ____ and ____ means in all professional dealings.",Private and professional,Efficient and inexpensive,Legal and profitable,Legal and ethical,Legal and ethical
Medicare Part D is what type of insurance?,A Medicare Advantage program managed by private insurers,Hospital coverage available to all Medicare Beneficiaries,Prescription drug coverage available to all Medicare Beneficiaries,Physician coverage requiring monthly premiums,Prescription drug coverage available to all Medicare Beneficiaries
Which option below is NOT a covered entity under HIPAA?,Medicare,Medicaid,BCBS,Worker’s’ Compensation,Worker’s’ Compensation
The 2012 OIG Work Plan prioritizes which of the following topics for review?,Dystrophic nail care,Lesion removal,E/M services during the global surgery periods,Fracture repair,E/M services during the global surgery periods
Muscle is attached to bone by what method?,"Tendons, ligaments, and directly to bone",Tendons and aponeurosis,Tendons and directly to bone,"Tendons, ligaments, aponeurosis, and directly to bone",Tendons and aponeurosis
What is affected by myasthenia gravis?,Neuromuscular junction,Muscle belly,Muscle/bone connection,Bone,Neuromuscular junction
Which respiratory structure is comprised of cartilage and ligaments?,Alveoli,Lung,Bronchiole,Trachea,Trachea
"Upon leaving the last portion of the small intestine, nutrients move through the large intestine in what order?","Cecum, transverse colon, ascending colon, descending colon, sigmoid colon, rectum, anus","Cecum, ascending colon, transverse colon, descending colon, sigmoid colon, rectum, anus","Cecum, ascending colon, transverse colon, sigmoid colon, descending colon, rectum, anus","Cecum, descending colon, transverse colon, ascending colon, sigmoid colon, rectum, anus","Cecum, ascending colon, transverse colon, descending colon, sigmoid colon, rectum, anus"
What are chemicals which relay amplify and modulate signals between a neuron and another cell?,Neurotransmitters,Hormones,Interneurons,Myelin,Neurotransmitters
A surgeon performs an “escharotomy.” This procedure is best described as:,Removal of scar tissue resulting from burns or other injuries,Removal of a basal cell carcinoma,Debridement of a pressure ulcer,Removal of a fingernail,Removal of scar tissue resulting from burns or other injuries
The dome-shaped muscle under the lungs flattening during inspiration is the:,Bronchus,Diaphragm,Mediastinum,Pleura,Diaphragm
A thin membrane lining the chambers of the heart and valves is called the:,Myocardium,Endocardium,Pericardium,Epicardium,Endocardium
A vesiculotomy is defined as:,Removal of an obstruction from the vas deferens,Surgical cutting into the seminal vesicles,Removal of one of the seminal vesicles,Incision into the prostate,Surgical cutting into the seminal vesicles
Destruction of lesions of the vulva can be done with “cryosurgery”. This method uses:,Chemicals,Extreme cold,Laser,Heat conduction,Extreme cold
What term describes a woman in her first pregnancy?,Primigravida,Primipara,Parturition,Nulligravida,Primigravida
A form of milk produced the first few days after giving birth is:,Chorion,Lactose,Colostrum,Prolactin,Colostrum
The root for pertaining to pancreatic islet cells is:,Cyt/o,Insul/o,Pancreat/o,Endocrin/o,Insul/o
Sialography is an x-ray of:,Sinuses,Liver,Salivary glands,Ventricles of the brain,Salivary glands
What is the meaning of “provider” in the ICD-10-CM guidelines refers to?,The hospital,The physician,Insurance Company,The patient,The physician
What is an example of an injury that would be considered a superficial injury?,Blister,Laceration,Nerve injury,Venomous insect bite,Blister
When can you use the code for HIV (B20)?,The test result is inconclusive,The test result is confirmed by the physician’s diagnostic statement,Known HIV without symptoms,Suspected HIV,The test result is confirmed by the physician’s diagnostic statement
What are some examples of fracture aftercare?,"Follow-up for healed fracture, cast change, medication adjustment","Follow-up for healed fracture, cast change","Follow-up for healed fracture, medication adjustment","Cast change, medication adjustment","Cast change, medication adjustment"
The instructions and conventions of the classification take precedence over,Physicians,Official Coding Guidelines,CPT®,"Nothing, they are only used in the event of no other instruction.",Official Coding Guidelines
What does HIPAA stand for?,Health Information Portability and Accountability Act,Health Insurance Privacy and Accountability Act,Health Insurance Portability and Accountability Act,Health Information Privacy and Accountability Act,Health Insurance Portability and Accountability Act
What is the primary purpose of the Stark Law?,To prevent healthcare fraud and abuse,To regulate the confidentiality of patient records,To prohibit physician self-referral,To ensure proper medical billing practices,To prohibit physician self-referral
Which agency is responsible for enforcing the False Claims Act?,Centers for Medicare & Medicaid Services (CMS),Department of Health and Human Services (HHS),Office of Inspector General (OIG),Department of Justice (DOJ),Department of Justice (DOJ)
What is the purpose of the Office of Inspector General (OIG) Work Plan?,To outline the OIG’s priorities for the coming year,To provide guidelines for medical coding practices,To ensure compliance with HIPAA regulations,To regulate the use of electronic health records,To outline the OIG’s priorities for the coming year
"Under the False Claims Act, what can whistleblowers receive as a reward for reporting fraud?",Nothing,A fixed salary,A percentage of the recovered funds,A tax deduction,A percentage of the recovered funds
What is the main focus of the Health Information Technology for Economic and Clinical Health (HITECH) Act?,To improve health information privacy and security,To provide guidelines for medical billing practices,To enhance the quality of healthcare,To prevent physician self-referral,To improve health information privacy and security
Which of the following is a key component of a corporate compliance program?,Regular audits and monitoring,Limiting patient access to their medical records,Increasing the number of billable services,Reducing the number of staff in the compliance department,Regular audits and monitoring
