question,option1,option2,option3,option4,correct_answer
Four-week-old female with obstructive apnea.,P28.3,P28.4,P22.0,P28.2,P28.4
Glomerulonephritis due to infectious hepatitis.,"N00.9, B15.0","B15.0, N00.9","N08, B19.9","B19.9, N08","B19.9, N08"
Bloody stool.,P54.3,P76.2,K92.1,K92.0,K92.1
This patient is seen for treatment of a recurrent right inguinal hernia with gangrene and obstruction.  What is the correct diagnosis code assignment? ,"K40.30, K46.0 ",K40.30 ,K40.41 ,"K40.41, K46.0 ",K40.41 
Code the following diagnosis code(s): 20-week pregnancy with low weight gain and pre-existing  essential hypertension complicating the pregnancy. ,"O26.12, O10.012, Z3A.20 ","O26.13, O10.03, Z3A.20  ","O26.12, O10.112, Z3A.20 ","O26.12, O10.212, Z3A.20 ","O26.12, O10.012, Z3A.20 "
What is the correct ICD-10-CM code(s) for malignant hypertension with stage III kidney disease?,"I10, N18.3",I12.9,I10,"I12.9, N18.3","I12.9, N18.3"
A 35 year old woman who is pregnant with her first child is admitted to the hospital. She experiences a prolonged labor during the first stage and eventually births a healthy baby boy.,"O63.0, O09.519, Z37.0","O80, Z37.0","O80, O63.0, O09.529, Z37.0","O63.0, O09.52, Z37.0","O63.0, O09.52, Z37.0"
A patient fell asleep on the beach and comes in with blistering on her back. She is diagnosed with second degree solar radiation burns.,L55.1,L56.2,T21.23XA,L58.9,L55.1
Newborn twin boys were delivered vaginally in a hospital at 34 weeks. Twin A weighed 850 grams and twin B weighed 920 grams. The twins were diagnosed with extreme immaturity. Which code(s) should you assign to their records?,"Z38.30, P07.03, P07.36","Z38.31, P07.00 , P07.26","Z38.30, P07.02 , P07.34","Z38.31, P07.01, P07.26","Z38.30, P07.03, P07.36"
Patient comes into see her primary care physician for a productive cough and shortness of breath. The physician takes a chest x-ray which indicates the patient has congestive pneumonia Select the ICD-10-CM code) for this visit,"J18.9, RO5,R06.02","RO5, R06.0,J189",J18.9,18.0.,J18.9
