question,option1,option2,option3,option4,correct_answer
A 29-year-old woman presents in her second trimester for routine prenatal visit. She is diagnosed with gestational diabetes controlled by diet. She is also noted to have anemia due to pregnancy. Which ICD-10-CM codes are appropriate?,"O24.410, O99.012","O24.410, O99.012, D50.9","O24.410, O99.011","O24.419, O99.012, D64.9","O24.410, O99.012, D50.9"
A 34-year-old woman is admitted at 38 weeks for delivery. She has pre-existing hypertension and delivers a healthy male infant vaginally with episiotomy.,"O10.013, Z37.0","O10.013, O80, Z37.0","O10.013, Z3A.38","O13.9, O80, Z37.0","O10.013, O80, Z37.0"
A woman who delivered twins (one liveborn and one stillborn) via cesarean section presents for her 6-week postpartum visit and is diagnosed with postpartum depression,"O82, Z39.2, F53.0, Z37.2","Z39.2, F32.9, O82, Z37.3","F53.0, Z39.2, Z37.3, O82","O82, F53.0, Z37.2","F53.0, Z39.2, Z37.3, O82"
A pregnant woman in her first trimester presents with hyperemesis gravidarum with metabolic disturbance.,O21.0,O21.1,"O21.0, Z3A.09","O21.1, Z3A.09","O21.1, Z3A.09"
A patient presents at 32 weeks of pregnancy with premature rupture of membranes and is admitted for observation.,"O42.013, Z3A.32","O42.013, Z3A.31",O42.013,"O42.019, Z3A.32","O42.013, Z3A.32"
A newborn baby is born at 34 weeks of gestation and requires observation for suspected neonatal jaundice. Phototherapy is initiated for hyperbilirubinemia. What is the most appropriate ICD-10-CM code for this condition?,"P07.36, P59.9","P59.0, P07.36","P08.21, P59.9","P59.8, P07.38","P59.0, P07.36"
A 3-month-old infant is diagnosed with a congenital ventricular septal defect during a routine echocardiogram. What is the correct ICD-10-CM code?,Q21.0,Q20.0,Q22.1,Q25.1,Q22.1
A neonate born at 39 weeks develops respiratory distress due to meconium aspiration during delivery. Which code(s) is/are appropriate?,P22.9,P24.00,P24.01,P28.5,P24.00
A newborn is diagnosed with Down syndrome confirmed by chromosomal testing. What is the correct ICD-10-CM code?,Q90.0,Q90.9,Q91.0,P04.3,Q90.9
Patient is diagnosed with an ectopic pregnancy that is found to be in the fallopian tubes. ,"O09.11, Z3A.12","O08.89, Z3A.01 ","O00.1, Z3A.00 ",O09.11,O09.11
Patient delivered full term single live birth with no complications: ,"O90.3, Z3A39 ","O80, Z37.1 ","O80, Z37.0 ","O35.0xx1, Z37.1","O80, Z37.0 "
Pregnancy associated cardiomyopathy: ,"O00.1, Z3A.12 ","O90.3, Z3A.00 ","J42.9, O90.3, Z3A.00 ","J42.9, O90.3","O90.3, Z3A.00 "
"Newborn birth weight 800 g, gestational age 30.1 weeks ",P07.32 ,"P07.03, P07.33 ",P07.34 ,"P07.33, P07.03 41. ","P07.03, P07.33 "
A new mother brings her 2 week old daughter in to the pediatrician’s office. She is having difficulty getting her to breast feed., P92.2 ,P92.3 ,P92.5 ,P92.6,P92.5 
A patient presents with congenital fusion of both ear ossicles to the plastic surgeon’s office to see if otoplasty is possible: ,Q16.0 ,Q16.9 ,Q16.3 ,Q16.1,Q16.3 
A patient is diagnosed with atresia of the esophagus with a Broncho-esophageal fistula: ,J86.0 ,Q39.1 ,Q39.0 ,Q39.3,Q39.1 
A patient presents to the ED with RLQ pain and fever. The physician lists appendicitis as a differential diagnosis. ,K37,"R10.12, R50.9 ","R10.813, R50.9 ","R10.31, R50.9 45. ","R10.31, R50.9 45. "
"A fireman suffered third degree burns of his upper back involving 8% TBSA, a second degree burns of the neck involving 2% TBSA, a third degree burns of the right forearm involving 4% TBSA, while in a house battling a fire. He was taken to the hospital ED for treatment: ","T20.27XA, T22.311A, T22.33XA, T31.11, Y91.019, X00.0XXA","T21.33XA, T22.311A, T20.27XA, T31.11, X00.0XXA, Y92.019 ","T21.73XA, T20.67XA, T22.011xA, T31.0, X02.0XA, Y92.013 ","T20.27xA, T21.34XA, T31.9, X03.0XA, Y92.029 46. ","T21.33XA, T22.311A, T20.27XA, T31.11, X00.0XXA, Y92.019 "
A patient presents to the ED after getting tackled playing football in the park. He is diagnosed with a right ankle sprain. ,"S93.491A, W03, Y92.831, Y93.61 ","S93.601A, W03.XXXA, Y91.830, Y93.62 ","S93.401A, W03.XXXA, Y92,830, Y93.61 ","S93.401A, W03, Y92.830, Y93.61 47.","S93.401A, W03.XXXA, Y92,830, Y93.61 "
A patient is seen for a posterior subluxation of the left shoulder: ,S43.002A ,S43.012A ,S43.022A ,S43.032A 48. ,S43.022A 
A man presents for treatment after falling on the moving walkway at the airport: ,"W01.198, Y92.89 ","W01.10XA, Y92.520A ","W01.0XXA, Y92.520 ","W01.0XXA, Y92.520A","W01.0XXA, Y92.520 "
"While learning to ride a bike, Tommy hit a street pole. ",V18.0XXA ,V17.0XXA,V17.4XXA ,V16.0XXA,V17.0XXA
Man was injured helping build walls for houses for Habitat for Humanity as a volunteer.,"Y93.H3, Y99.2","Y93.H9, Y99.2","Y93.H1, Y99.8 ",Y93.H3 52. ,"Y93.H3, Y99.2"
A physician documents that the patient has been non-compliant with medications and has only been taking half dose to save on money.,T50.906 ,Z91.120 ,Z91.130 ,Z91.19,Z91.120 
